Customer_id,name,email,phone,address,lat,lng,waiting_time_min,acceptance_hours
0003,,,,,40.487,50.16323,20,15.00-23.00
0004,,,,,40.50976,50.15925,20,15.00-23.00
0011,,,,,40.39399,49.97598,20,15.00-23.00
0015,,,,,40.42281,49.96121,20,15.00-23.00
0018,,,,,40.41163,49.96419,20,15.00-23.00
0024,,,,,40.39046,49.88913,20,15.00-23.00
0036,,,,,40.36987,49.96009,20,15.00-23.00
0038,,,,,40.37864,49.9611,20,15.00-23.00
0043,,,,,40.37225,49.96003,20,15.00-23.00
0047,,,,,40.37295,49.9441,20,15.00-23.00
0050,,,,,40.3687,49.93929,20,15.00-23.00
0053,,,,,40.37352,49.9278,20,15.00-23.00
0065,,,,,40.40646,49.95023,5,10.00-16.00
0068,,,,,40.40533,49.95054,5,10.00-16.00
0069,,,,,40.39848,49.94054,5,10.00-16.00
0075,,,,,40.46516,49.74715,5,10.00-16.00
0090,,,,,40.40723,49.86594,5,10.00-16.00
0102,,,,,40.39852,49.93524,20,15.00-23.00
0103,,,,,40.4001,49.93552,20,15.00-23.00
0104,,,,,40.40518,49.93967,20,15.00-23.00
0110,,,,,40.40982,49.93634,20,15.00-23.00
0111,,,,,40.41231,49.93446,20,15.00-23.00
0112,,,,,40.40507,49.92947,20,15.00-23.00
0113,,,,,40.40654,49.92935,20,15.00-23.00
0114,,,,,40.40654,49.92934,20,15.00-23.00
0115,,,,,40.4082,49.9281,20,15.00-23.00
0116,,,,,40.40821,49.92817,20,15.00-23.00
0118,,,,,40.4045,49.93939,20,15.00-23.00
0127,,,,,40.3783,49.87649,20,15.00-23.00
0136,,,,,40.40512,49.93521,20,15.00-23.00
0144,,,,,40.4391,49.93927,5,10.00-16.00
0156,,,,,40.29669,49.75265,5,10.00-16.00
0158,,,,,40.30429,49.82491,20,15.00-23.00
0161,,,,,40.30418,49.8279,20,15.00-23.00
0163,,,,,40.22495,49.57236,5,10.00-16.00
0169,,,,,40.43108,49.81139,5,10.00-16.00
0170,,,,,40.30593,49.79292,20,15.00-23.00
0176,,,,,39.96733,49.40842,5,10.00-16.00
0178,,,,,39.97026,49.41597,5,10.00-16.00
0188,,,,,40.57434,49.7213,20,15.00-23.00
0191,,,,,40.43698,49.80402,5,10.00-16.00
0205,,,,,40.59281,49.67395,5,10.00-16.00
0206,,,,,40.59343,49.67429,40,10.00-16.00
0208,,,,,40.59686,49.67246,5,10.00-16.00
0214,,,,,40.59797,49.67419,20,15.00-23.00
0219,,,,,40.60449,49.66571,5,10.00-16.00
0227,,,,,40.60885,49.57577,5,10.00-16.00
0251,,,,,40.57302,49.76421,20,15.00-23.00
0252,,,,,40.57321,49.74964,20,15.00-23.00
0257,,,,,40.52473,49.69023,20,15.00-23.00
0263,,,,,40.35662,49.81026,20,15.00-23.00
0267,,,,,40.3943,49.80218,20,15.00-23.00
0268,,,,,40.3951,49.79,20,15.00-23.00
0270,,,,,40.39192,49.80262,20,15.00-23.00
0271,,,,,40.41308,49.80406,20,15.00-23.00
0277,,,,,40.2271,49.58406,20,15.00-23.00
0281,,,,,40.4235607,49.8176993,20,15.00-23.00
0283,,,,,40.41653,49.83542,20,15.00-23.00
