Customer_id,name,email,phone,address,lat,lng,waiting_time_min,acceptance_hours
a0003,,,,,40.487,50.16323,20,15.00-23.00
a0004,,,,,40.50976,50.15925,20,15.00-23.00
a0011,,,,,40.39399,49.97598,20,15.00-23.00
a0015,,,,,40.42281,49.96121,20,15.00-23.00
a0018,,,,,40.41163,49.96419,20,15.00-23.00
a0024,,,,,40.39046,49.88913,20,15.00-23.00
a0036,,,,,40.36987,49.96009,20,15.00-23.00
a0038,,,,,40.37864,49.9611,20,15.00-23.00
a0043,,,,,40.37225,49.96003,20,15.00-23.00
a0047,,,,,40.37295,49.9441,20,15.00-23.00
a0050,,,,,40.3687,49.93929,20,15.00-23.00
a0053,,,,,40.37352,49.9278,20,15.00-23.00
a0065,,,,,40.40646,49.95023,5,10.00-16.00
a0068,,,,,40.40533,49.95054,5,10.00-16.00
a0069,,,,,40.39848,49.94054,5,10.00-16.00
a0075,,,,,40.46516,49.74715,5,10.00-16.00
a0090,,,,,40.40723,49.86594,5,10.00-16.00
a0102,,,,,40.39852,49.93524,20,15.00-23.00
a0103,,,,,40.4001,49.93552,20,15.00-23.00
a0104,,,,,40.40518,49.93967,20,15.00-23.00
a0110,,,,,40.40982,49.93634,20,15.00-23.00
a0111,,,,,40.41231,49.93446,20,15.00-23.00
a0112,,,,,40.40507,49.92947,20,15.00-23.00
a0113,,,,,40.40654,49.92935,20,15.00-23.00
a0114,,,,,40.40654,49.92934,20,15.00-23.00
a0115,,,,,40.4082,49.9281,20,15.00-23.00
a0116,,,,,40.40821,49.92817,20,15.00-23.00
a0118,,,,,40.4045,49.93939,20,15.00-23.00
a0127,,,,,40.3783,49.87649,20,15.00-23.00
a0136,,,,,40.40512,49.93521,20,15.00-23.00
a0144,,,,,40.4391,49.93927,5,10.00-16.00
a0156,,,,,40.29669,49.75265,5,10.00-16.00
a0158,,,,,40.30429,49.82491,20,15.00-23.00
a0161,,,,,40.30418,49.8279,20,15.00-23.00
a0163,,,,,40.22495,49.57236,5,10.00-16.00
a0169,,,,,40.43108,49.81139,5,10.00-16.00
